iter	Logloss
0	0.6887721872
1	0.6829508944
2	0.6783582078
3	0.6745588375
4	0.6702841472
5	0.6663424345
6	0.6626990066
7	0.659584958
8	0.6555910771
9	0.6494059858
10	0.6464422688
11	0.6438063899
12	0.6387697655
13	0.6353784364
14	0.6329773679
15	0.6283043073
16	0.6240835578
17	0.620224371
18	0.6171610324
19	0.6151100828
20	0.6132830623
21	0.608736403
22	0.605232285
23	0.6032164405
24	0.599663244
25	0.5964558542
26	0.5937026704
27	0.5906830759
28	0.5888022762
29	0.5856919792
30	0.5822464193
31	0.5807279851
32	0.5790472791
33	0.5767100747
34	0.5748745979
35	0.5716389513
36	0.5699740497
37	0.567167028
38	0.5649824241
39	0.5637596207
40	0.5605233997
41	0.5589170293
42	0.5571683086
43	0.5555901758
44	0.5538876886
45	0.5522637915
46	0.551060666
47	0.5488189526
48	0.5476657645
49	0.5466011514
50	0.5440455824
51	0.5426623726
52	0.5409308226
53	0.539317749
54	0.537943683
55	0.5365432882
56	0.5338207894
57	0.5326434485
58	0.53147139
59	0.5297435272
60	0.5282219449
61	0.5266962595
62	0.5245778916
63	0.5222071303
64	0.52034322
65	0.5177151933
66	0.5160107431
67	0.5138027685
68	0.5124058983
69	0.5109100868
70	0.5098470274
71	0.5092699463
72	0.5084772014
73	0.5069195433
74	0.5062210784
75	0.5051040818
76	0.5026139867
77	0.5019079326
78	0.5012931126
79	0.4990916044
80	0.4971688761
81	0.4963213422
82	0.4953760051
83	0.4940413829
84	0.4925494899
85	0.4902924195
86	0.489296396
87	0.4853533567
88	0.4847867475
89	0.4842974279
90	0.4835904762
91	0.482662691
92	0.4815781877
93	0.4805776576
94	0.4784083619
95	0.477578579
96	0.4760840009
97	0.4731036427
98	0.4715942229
99	0.470878867
100	0.4702303476
101	0.4668250183
102	0.4652662797
103	0.4647833989
104	0.4642419494
105	0.4637260719
106	0.4632325949
107	0.4623590878
108	0.460411603
109	0.4585663372
110	0.4579766267
111	0.4565336514
112	0.4560305169
113	0.4554452407
114	0.4548300213
115	0.453175703
116	0.452037019
117	0.4515705562
118	0.4508081633
119	0.4497270103
120	0.4493031911
121	0.4478583752
122	0.44514468
123	0.4439813621
124	0.4429197248
125	0.4414150407
126	0.4389153856
127	0.4376938916
128	0.4371667112
129	0.4365915591
130	0.4342360722
131	0.4332026747
132	0.4317269635
133	0.4314072852
134	0.4306132172
135	0.4295688304
136	0.4289206583
137	0.428233325
138	0.4270356642
139	0.4258276072
140	0.4252226387
141	0.4246366456
142	0.4234314426
143	0.422424034
144	0.4218496921
145	0.4213445809
146	0.4208794542
147	0.4198883442
148	0.4195360204
149	0.4188763441
150	0.4181537794
151	0.4175668532
152	0.4170983254
153	0.416633918
154	0.4160415069
155	0.415490878
156	0.4149193137
